Headword|POS|Gender	TLFi sense Ids	TLFi senses	HS	BG	MC	Wiktionnaire senses	Wiktionnaire sense Ids
	B._1.UND-4	Donner du souci à quelqu'un, lui causer des difficultés.	none	none	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1
	B._1.UND-4	Donner du souci à quelqu'un, lui causer des difficultés.	exact	exact	exact	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1
	B._1.UND-5	Être sollicité, tiraillé par des désirs impérieux.	none	none	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1
	B._1.UND-5	Être sollicité, tiraillé par des désirs impérieux.	none	none	none	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1
	B._UND-6	Ne pas cesser de remuer, d'agiter, de solliciter quelque chose.	exact	none	none	(Intransitif) (Vieilli) Aller et venir, s’agiter, se tourmenter pour peu de chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tracasser__verb__1
	B._UND-6	Ne pas cesser de remuer, d'agiter, de solliciter quelque chose.	none	none	none	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1
quota|noun|masculine							
https://www.cnrtl.fr/definition/70686							
http://kaiko.getalp.org/dbnary/fra/quota__nom__1							
	A._UND-1	Limitation du nombre d'immigrants (souvent en fonction de la nationalité ou de la qualification professionnelle).	narrower	narrower	narrower	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	A._UND-2	Limitation en volume ou en valeur, à l'importation, de biens et de services, imposée par un gouvernement.	narrower	narrower	narrower	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	A._UND-3	Chiffre d'affaires minimum qui doit être réalisé par un revendeur, un représentant, un service, pendant un certain temps, dans un secteur donné	none	narrower	narrower	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	UND-4	Contingent, pourcentage déterminé, imposé ou autorisé.	narrower	narrower	narrower	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	UND-5	Dans un sondage, adéquation entre le pourcentage de chaque catégorie de la population réelle (actifs, non-actifs, jeunes, vieux, professions diverses, etc.) et celui de l'échantillon (s'oppose à où les sujets sont choisis au hasard) (	none	none	none	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
céramique|noun|feminine							
https://www.cnrtl.fr/definition/17322							
http://kaiko.getalp.org/dbnary/fra/céramique__nom__1							
	B._UND-2	Fabrication de prothèses en porcelaine.	none	none	none	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-2	Fabrication de prothèses en porcelaine.	none	narrower	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-2	Fabrication de prothèses en porcelaine.	none	narrower	none	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	broader	broader	related	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	none	none	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	related	none	related	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	none	none	related	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	none	none	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	related	none	related	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	none	none	related	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	none	narrower	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	exact	exact	exact	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
bureaucratie|noun|feminine							
https://www.cnrtl.fr/definition/14947							
http://kaiko.getalp.org/dbnary/fra/bureaucratie__nom__1							
	A._UND-2	Administration toute puissante	broader	exact	related	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	none	none	related	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	broader	related	none	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	none	none	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	none	none	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	exact	exact	exact	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	none	none	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	none	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	broader	none	related	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	none	none	related	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	broader	narrower	related	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	none	none	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
lynx|noun|masculine							
https://www.cnrtl.fr/definition/49747							
http://kaiko.getalp.org/dbnary/fra/lynx__nom__1							
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	none	none	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	exact	exact	exact	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	narrower	exact	related	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
	UND-3	Fourrure du lynx.	none	none	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-3	Fourrure du lynx.	none	none	related	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-3	Fourrure du lynx.	none	none	related	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	none	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	none	none	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	none	none	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
rouble|noun|masculine							
https://www.cnrtl.fr/definition/75466							
http://kaiko.getalp.org/dbnary/fra/rouble__nom__1							
	UND_1	Unité monétaire de la Russie tsariste puis de l'U.R.S.S. divisée en cent kopecks.	narrower	narrower	exact	Monnaie utilisée en Russie, en Biélorussie, etc.	http://kaiko.getalp.org/dbnary/fra/__ws_1_rouble__nom__1
immoralité|noun|feminine							
https://www.cnrtl.fr/definition/43047							
http://kaiko.getalp.org/dbnary/fra/immoralité__nom__1							
	UND-1	Conduite ou comportement immoral (d'une personne).	exact	narrower	related	Caractère de celui ou de ce qui est immoral.	http://kaiko.getalp.org/dbnary/fra/__ws_1_immoralité__nom__1
	UND-2	Caractère immoral (d'une action, d'une parole, d'une chose et d'une production littéraire ou artistique).	exact	narrower	exact	Caractère de celui ou de ce qui est immoral.	http://kaiko.getalp.org/dbnary/fra/__ws_1_immoralité__nom__1
perversité|noun|feminine							
https://www.cnrtl.fr/definition/62998							
http://kaiko.getalp.org/dbnary/fra/perversité__nom__1							
	UND-1	Caractère d'une personne encline au mal, qui fait, qui aime à faire le mal.	narrower	exact	exact	Caractère de celui qui est pervers, qui a de la complaisance pour la dépravation.	http://kaiko.getalp.org/dbnary/fra/__ws_1_perversité__nom__1
	UND-1	Caractère d'une personne encline au mal, qui fait, qui aime à faire le mal.	narrower	narrower	related	Nature de ce qui est pervers.	http://kaiko.getalp.org/dbnary/fra/__ws_2_perversité__nom__1
	UND-2	Anormalité de la conduite générale et spécialement des comportements à l'égard d'autrui et de la Société conduisant à des actes asociaux et inhumains accomplis avec indifférence affective à l'égard de la souffrance d'autrui, absence complète de culpabilité et satisfaction personnelle	narrower	related	related	Caractère de celui qui est pervers, qui a de la complaisance pour la dépravation.	http://kaiko.getalp.org/dbnary/fra/__ws_1_perversité__nom__1
	UND-2	Anormalité de la conduite générale et spécialement des comportements à l'égard d'autrui et de la Société conduisant à des actes asociaux et inhumains accomplis avec indifférence affective à l'égard de la souffrance d'autrui, absence complète de culpabilité et satisfaction personnelle	narrower	related	exact	Nature de ce qui est pervers.	http://kaiko.getalp.org/dbnary/fra/__ws_2_perversité__nom__1
gravement|adverb|							
https://www.cnrtl.fr/definition/39011 							
http://kaiko.getalp.org/dbnary/fra/gravement__adv__1							
	UND-1	Sur un timbre grave.	exact	none	none	Avec gravité ; d’une manière composée.	
	UND-1	Sur un timbre grave.	none	exact	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-1	Sur un timbre grave.	none	none	none	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	exact	exact	exact	Avec gravité ; d’une manière composée.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	none	none	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	none	none	none	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	none	none	none	Avec gravité ; d’une manière composée.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	none	none	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	exact	exact	exact	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
