Headword|POS|Gender	TLFi sense Ids	TLFi senses	Sina	Karen	Wiktionnaire senses	Wiktionnaire sense Ids
	II._B._UND-11	S'enfuir en se séparant (des autres).	none	none	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._B._UND-11	S'enfuir en se séparant (des autres).	related	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._B._UND-11	S'enfuir en se séparant (des autres).	related	related	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._B._UND-11	S'enfuir en se séparant (des autres).	none	related	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._B._UND-11	S'enfuir en se séparant (des autres).	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	related	none	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	related	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	related	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	none	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	none	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	none	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	exact	exact	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._UND-9	"Se répandre çà et là, au hasard."	none	exact	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._UND-9	"Se répandre çà et là, au hasard."	none	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._UND-9	"Se répandre çà et là, au hasard."	none	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._UND-9	"Se répandre çà et là, au hasard."	exact	related	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._UND-9	"Se répandre çà et là, au hasard."	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
déshydrater|verb|						
https://www.cnrtl.fr/definition/26442						
http://kaiko.getalp.org/dbnary/fra/déshydrater__verb__1						
	UND-1	"Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique)."	exact	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-1	"Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique)."	related	related	"(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient."	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-1	"Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique)."	none	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	related	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	related	exact	"(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient."	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	none	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-3	"Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe."	none	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-3	"Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe."	exact	exact	"(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient."	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-3	"Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe."	none	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	related	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	related	related	"(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient."	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	related	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	exact	exact	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	exact	related	"(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient."	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	none	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
hébreu|adjective|						
https://www.cnrtl.fr/definition/40300						
http://kaiko.getalp.org/dbnary/fra/hébreu__adj__1						
	A._2.UND-2	"(Celui, celle, ce) qui appartient aux descendants du peuple hébreu ( A 1)."	related	related	"Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	A._2.UND-2	"(Celui, celle, ce) qui appartient aux descendants du peuple hébreu ( A 1)."	none	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	A._2.UND-3	État d'Israël.	none	none	"Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	A._2.UND-3	État d'Israël.	related	related	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.1.UND-4	La Bible hébraïque.	none	none	"Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.1.UND-4	La Bible hébraïque.	none	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.UND-10	"Qui concerne la langue des Hébreux, qui lui appartient."	related	related	"Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.UND-10	"Qui concerne la langue des Hébreux, qui lui appartient."	related	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.UND-9	"Langue sémitique occidentale parlée par les Hébreux jusqu'à l'exil de Babylone, restée vivante en tant que langue sacrée et devenue langue officielle de l'État d'Israël."	related	related	"Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.UND-9	"Langue sémitique occidentale parlée par les Hébreux jusqu'à l'exil de Babylone, restée vivante en tant que langue sacrée et devenue langue officielle de l'État d'Israël."	none	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
