Headword|POS|Gender	TLFi sense Ids	TLFi senses	Semantic relation	Wiktionnaire senses	Wiktionnaire sense Ids
	B._UND-6	Ne pas cesser de remuer, d'agiter, de solliciter quelque chose.	none	(Transitif) ou (Pronominal) (Familier) Inquiéter ou tourmenter quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tracasser__verb__1
quota|noun|masculine					
https://www.cnrtl.fr/definition/70686					
http://kaiko.getalp.org/dbnary/fra/quota__nom__1					
	A._UND-1	Limitation du nombre d'immigrants (souvent en fonction de la nationalité ou de la qualification professionnelle).	related	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	A._UND-2	Limitation en volume ou en valeur, à l'importation, de biens et de services, imposée par un gouvernement.	related	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	A._UND-3	Chiffre d'affaires minimum qui doit être réalisé par un revendeur, un représentant, un service, pendant un certain temps, dans un secteur donné	none	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	UND-4	Contingent, pourcentage déterminé, imposé ou autorisé.	exact	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
	UND-5	Dans un sondage, adéquation entre le pourcentage de chaque catégorie de la population réelle (actifs, non-actifs, jeunes, vieux, professions diverses, etc.) et celui de l'échantillon (s'oppose à où les sujets sont choisis au hasard) (	none	Quantité limitée ou réglementaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_quota__nom__1
céramique|noun|feminine					
https://www.cnrtl.fr/definition/17322					
http://kaiko.getalp.org/dbnary/fra/céramique__nom__1					
	B._UND-2	Fabrication de prothèses en porcelaine.	none	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-2	Fabrication de prothèses en porcelaine.	related	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-2	Fabrication de prothèses en porcelaine.	none	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	related	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-3	La matière obtenue après cuisson	related	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	none	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	related	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	B._UND-4	Vase, objet produit par la technique de fabrication.	related	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	none	(Céramique) Matériau composé de substances inorganiques et non métalliques, et obtenu par frittage puis refroidissement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	none	(Par extension) Art de peindre la porcelaine, de cloisonner les émaux et même de fabriquer le verre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_céramique__nom__1
	UND-6	Art de fabriquer, technique de fabrication des objets à partir de l'argile.	exact	(Céramique) L’art de la fabrication d’objets en terre cuite.	http://kaiko.getalp.org/dbnary/fra/__ws_1_céramique__nom__1
bureaucratie|noun|feminine					
https://www.cnrtl.fr/definition/14947					
http://kaiko.getalp.org/dbnary/fra/bureaucratie__nom__1					
	A._UND-2	Administration toute puissante	exact	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	related	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	exact	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	A._UND-2	Administration toute puissante	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	exact	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	B._UND-4	Vie, condition, occupation d'employé de bureau	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	exact	(En particulier) (Politique) (Péjoratif) Caste administrative politique qui accapare le pouvoir et les richesses.	http://kaiko.getalp.org/dbnary/fra/__ws_2_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	none	(Par métonymie) Administration, condition, occupation d’employé de bureau.	http://kaiko.getalp.org/dbnary/fra/__ws_4_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	exact	Autorité, pouvoir diffus qui se caractérise par des règles procédurières strictes, la division des responsabilités, une forte hiérarchie et des relations impersonnelles.	http://kaiko.getalp.org/dbnary/fra/__ws_1_bureaucratie__nom__1
	UND-3	Puissance excessive, pesante et routinière, de l'administration	none	(Par extension) Paperasserie.	http://kaiko.getalp.org/dbnary/fra/__ws_3_bureaucratie__nom__1
lynx|noun|masculine					
https://www.cnrtl.fr/definition/49747					
http://kaiko.getalp.org/dbnary/fra/lynx__nom__1					
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	exact	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-1	Félin, haut sur pattes, de la taille d'un gros chat, au pelage roux, aux oreilles pointues garnies de poils raides, auquel on attribue une vue perçante.	related	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
	UND-2	Variété de lynx vivant en Afrique et dans le sud de l'Asie.	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-2	Variété de lynx vivant en Afrique et dans le sud de l'Asie.	related	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-2	Variété de lynx vivant en Afrique et dans le sud de l'Asie.	exact	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
	UND-3	Fourrure du lynx.	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-3	Fourrure du lynx.	none	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-3	Fourrure du lynx.	none	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	(Entomologie) Synonyme de phalène ocellée (papillon), (Cosmorhoe ocellata).	http://kaiko.getalp.org/dbnary/fra/__ws_3_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	(Zoologie) Une des espèces de félins sauvages ressemblant à un gros chat, dont la face est ornée de favoris et d’oreilles triangulaires surmontées d’une touffe de poil, et le corps doté d’une courte queue et de longues pattes.	http://kaiko.getalp.org/dbnary/fra/__ws_1_lynx__nom__1
	UND-5	S'emploie pour désigner une pers. qui a une très bonne vue, une extrême perspicacité	none	Félin ressemblant aux espèces du genre Lynx.	http://kaiko.getalp.org/dbnary/fra/__ws_2_lynx__nom__1
rouble|noun|masculine					
https://www.cnrtl.fr/definition/75466					
http://kaiko.getalp.org/dbnary/fra/rouble__nom__1					
	UND_1	Unité monétaire de la Russie tsariste puis de l'U.R.S.S. divisée en cent kopecks.	exact	Monnaie utilisée en Russie, en Biélorussie, etc.	http://kaiko.getalp.org/dbnary/fra/__ws_1_rouble__nom__1
immoralité|noun|feminine					
https://www.cnrtl.fr/definition/43047					
http://kaiko.getalp.org/dbnary/fra/immoralité__nom__1					
	UND-1	Conduite ou comportement immoral (d'une personne).	exact	Caractère de celui ou de ce qui est immoral.	http://kaiko.getalp.org/dbnary/fra/__ws_1_immoralité__nom__1
	UND-2	Caractère immoral (d'une action, d'une parole, d'une chose et d'une production littéraire ou artistique).	exact	Caractère de celui ou de ce qui est immoral.	http://kaiko.getalp.org/dbnary/fra/__ws_1_immoralité__nom__1
perversité|noun|feminine					
https://www.cnrtl.fr/definition/62998					
http://kaiko.getalp.org/dbnary/fra/perversité__nom__1					
	UND-1	Caractère d'une personne encline au mal, qui fait, qui aime à faire le mal.	exact	Caractère de celui qui est pervers, qui a de la complaisance pour la dépravation.	http://kaiko.getalp.org/dbnary/fra/__ws_1_perversité__nom__1
	UND-1	Caractère d'une personne encline au mal, qui fait, qui aime à faire le mal.	exact	Nature de ce qui est pervers.	http://kaiko.getalp.org/dbnary/fra/__ws_2_perversité__nom__1
	UND-2	Anormalité de la conduite générale et spécialement des comportements à l'égard d'autrui et de la Société conduisant à des actes asociaux et inhumains accomplis avec indifférence affective à l'égard de la souffrance d'autrui, absence complète de culpabilité et satisfaction personnelle	exact	Caractère de celui qui est pervers, qui a de la complaisance pour la dépravation.	http://kaiko.getalp.org/dbnary/fra/__ws_1_perversité__nom__1
	UND-2	Anormalité de la conduite générale et spécialement des comportements à l'égard d'autrui et de la Société conduisant à des actes asociaux et inhumains accomplis avec indifférence affective à l'égard de la souffrance d'autrui, absence complète de culpabilité et satisfaction personnelle	exact	Nature de ce qui est pervers.	http://kaiko.getalp.org/dbnary/fra/__ws_2_perversité__nom__1
gravement|adverb|					
https://www.cnrtl.fr/definition/39011 					
http://kaiko.getalp.org/dbnary/fra/gravement__adv__1					
	UND-1	Sur un timbre grave.	exact	Avec gravité ; d’une manière composée.	
	UND-1	Sur un timbre grave.	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-1	Sur un timbre grave.	none	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	exact	Avec gravité ; d’une manière composée.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-2	Avec gravité (dans le ton, le maintien, les manières).	none	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	none	Avec gravité ; d’une manière composée.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	none	(Musique) Il indique un mouvement lent, mais moins lent que le mouvement indiqué par lentement. On dit et on écrit plus ordinairement grave en italien.	
	UND-3	D'une manière importante, considérable et parfois dangereuse.	exact	Dangereusement, d’une manière à entraîner de fâcheuses conséquences.	
