Headword|POS|Gender	TLFi sense Ids	TLFi senses	Semantic relation	Wiktionnaire senses	Wiktionnaire sense Ids
	II._B._UND-11	S'enfuir en se séparant (des autres).	none	(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents.	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	Répandre, jeter çà et là.	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux.	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	Forcer à s’enfuir de différents côtés, mettre en désordre.	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	(Pronominal) S'égailler, se diviser, se répandre.	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._C._UND-13	Disparaître par la dispersion des éléments.	none	(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents.	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	Répandre, jeter çà et là.	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux.	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	Forcer à s’enfuir de différents côtés, mettre en désordre.	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	none	(Pronominal) S'égailler, se diviser, se répandre.	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._C._UND-14	S'adonner à trop d'activités différentes sans se concentrer sur aucune.	exact	(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents.	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._UND-9	Se répandre çà et là, au hasard.	exact	Répandre, jeter çà et là.	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._UND-9	Se répandre çà et là, au hasard.	none	Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux.	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._UND-9	Se répandre çà et là, au hasard.	none	Forcer à s’enfuir de différents côtés, mettre en désordre.	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._UND-9	Se répandre çà et là, au hasard.	related	(Pronominal) S'égailler, se diviser, se répandre.	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._UND-9	Se répandre çà et là, au hasard.	none	(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents.	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
déshydrater|verb|					
https://www.cnrtl.fr/definition/26442					
http://kaiko.getalp.org/dbnary/fra/déshydrater__verb__1					
	UND-1	Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique).	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-1	Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique).	related	(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-1	Éliminer l'eau en combinaison chimique (par la chaleur, le vide, un corps hygroscopique).	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	exact	(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-2	Faire évaporer l'eau de constitution de certains fruits et légumes pour en assurer la conservation.	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-3	Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe.	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-3	Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe.	exact	(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-3	Diminuer la teneur en eau d'une cellule, d'un tissu ou d'un organe.	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	related	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	related	(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND-5	Être privé de sa teneur normale en eau.	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	exact	Enlever à un corps une partie ou la totalité de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_1_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	related	(Par extension) Enlever à un organisme, à la peau une partie de l'eau qu'il contient.	http://kaiko.getalp.org/dbnary/fra/__ws_2_déshydrater__verb__1
	UND_1	Enlever tout ou partie de l'eau que contient normalement un corps.	none	(Pronominal) Avoir besoin de boire.	http://kaiko.getalp.org/dbnary/fra/__ws_3_déshydrater__verb__1
hébreu|adjective|					
https://www.cnrtl.fr/definition/40300 					
http://kaiko.getalp.org/dbnary/fra/hébreu__adj__1					
	A._2.UND-2	(Celui, celle, ce) qui appartient aux descendants du peuple hébreu ( A 1).	related	Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture.	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	A._2.UND-2	(Celui, celle, ce) qui appartient aux descendants du peuple hébreu ( A 1).	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	A._2.UND-3	État d'Israël.	none	Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture.	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	A._2.UND-3	État d'Israël.	related	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.1.UND-4	La Bible hébraïque.	none	Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture.	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.1.UND-4	La Bible hébraïque.	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.UND-10	Qui concerne la langue des Hébreux, qui lui appartient.	related	Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture.	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.UND-10	Qui concerne la langue des Hébreux, qui lui appartient.	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
	B.UND-9	Langue sémitique occidentale parlée par les Hébreux jusqu'à l'exil de Babylone, restée vivante en tant que langue sacrée et devenue langue officielle de l'État d'Israël.	related	Relatif au peuple hébraïque (les Hébreux), à sa langue ou à sa culture.	http://kaiko.getalp.org/dbnary/fra/__ws_1_hébreu__adj__1
	B.UND-9	Langue sémitique occidentale parlée par les Hébreux jusqu'à l'exil de Babylone, restée vivante en tant que langue sacrée et devenue langue officielle de l'État d'Israël.	none	Relatif à Israël.	http://kaiko.getalp.org/dbnary/fra/__ws_2_hébreu__adj__1
